"image","xmin","ymin","xmax","ymax","label"
"image%20(100).jpg",44.47418845807033,57.62987012987013,119.13604598737601,134.1991341991342,"eggsilver"
"image%20(100).jpg",96.41287195671775,74.94588744588745,190.28122182146075,159.36147186147187,"shieldkite"
"image%20(100).jpg",129.68609107303877,125.81168831168831,219.49673128944994,189.12337662337663,"fish"
"image%20(100).jpg",163.77085211902613,139.6103896103896,256.2866321009918,225.91991341991343,"logs"
"image%20(1).jpg",34.46517132551848,30.303030303030305,114.80782236248872,121.21212121212122,"eggsilver"
"image%20(1).jpg",103.71674932371505,71.96969696969697,181.3542605951307,142.85714285714286,"beret"
"image%20(1).jpg",137.8015103697024,95.23809523809524,196.77355725879167,164.77272727272728,"bracelet"
"image%20(1).jpg",168.9106176735798,130.14069264069263,247.08915689810638,227.54329004329003,"vial"
"image%20(10).jpg",38.52288097385031,15.422077922077921,123.73478358881874,97.4025974025974,"fish"
"image%20(10).jpg",80.72306131650134,53.84199134199134,154.57337691614066,136.0930735930736,"eggsilver"
"image%20(10).jpg",123.19375563570783,94.96753246753246,197.8556131650135,172.07792207792207,"beret"
"image%20(1000).jpg",35.276713255184845,1.3528138528138527,113.18473850315598,96.04978354978356,"capewoodcutting"
"image%20(1000).jpg",100.20006762849412,53.03030303030303,144.0233318304779,122.83549783549783,"bracelet"
"image%20(1000).jpg",107.23343101893597,67.64069264069263,184.60042831379621,163.41991341991343,"skull"
"image%20(1000).jpg",151.8682371505861,105.51948051948052,234.64551397655543,207.7922077922078,"mask"
"image%20(1001).jpg",24.72666816952209,46.807359307359306,120.21810189359782,138.7987012987013,"bookprayer"
"image%20(1001).jpg",108.04497294860234,68.18181818181819,186.49402614968437,167.2077922077922,"capelava"
"image%20(1001).jpg",141.5887060414788,122.2943722943723,216.25056357078446,195.61688311688312,"bookprayer"
"image%20(1001).jpg",179.46066275924255,119.58874458874459,236.53911181244362,227.8138528138528,"capefishing"
"image%20(1002).jpg",31.489517583408475,25.162337662337663,109.39754283137961,141.23376623376623,"skull"
"image%20(1002).jpg",126.71043733092876,79.54545454545455,185.682484220018,170.45454545454544,"shielddragonfire"
"image%20(1002).jpg",126.71043733092876,79.54545454545455,185.682484220018,170.45454545454544,"beret"
"image%20(1002).jpg",126.71043733092876,79.54545454545455,185.682484220018,170.45454545454544,"bracelet"
"image%20(1003).jpg",36.088255184851214,8.928571428571429,127.25146528403965,97.40259740259741,"vial"
"image%20(1003).jpg",36.088255184851214,8.928571428571429,127.25146528403965,97.40259740259741,"eggspotted"
"image%20(1004).jpg",11.471483318304777,25.162337662337663,122.38221370604147,137.17532467532467,"pumpkin"
"image%20(1006).jpg",20.398444544634803,33.82034632034632,107.77445897204687,130.14069264069263,"necklace"
"image%20(1006).jpg",107.77445897204687,87.12121212121212,191.90430568079347,170.72510822510822,"necklace"
"image%20(1006).jpg",154.57337691614066,119.31818181818181,220.84930117222723,205.35714285714283,"booknewcomer"
"image%20(1006).jpg",188.9286519386835,147.9978354978355,270.89438683498645,241.07142857142856,"skull"
"image%20(1005).jpg",26.620266005410276,14.33982683982684,116.160392245266,109.3073593073593,"booknewcomer"
"image%20(1005).jpg",79.64100541027952,67.0995670995671,174.3208972046889,145.83333333333331,"logs"
"image%20(1005).jpg",135.36688458070333,96.04978354978356,206.5120604147881,186.14718614718615,"booknewcomer"
"image%20(1005).jpg",184.32991433724075,130.4112554112554,233.83397204688907,222.94372294372295,"scrollgrey"
"image%20(1005).jpg",208.67617222723172,166.93722943722943,258.45074391343553,247.02380952380952,"hatchet"
